num_iter,lossValue,trainAccuracy,predictionAccuracy,predictionPrecision,predictionRecall,predictionF1
50,4.20552944678391e+18,0.113,0.11,0.11,0.11,0.11
100,-2.554146691711249e+28,0.1,0.103,0.103,0.103,0.103
150,1.601446738919424e+16,0.096,0.097,0.097,0.097,0.097
200,-2.554146691711249e+28,0.114,0.117,0.117,0.117,0.117
250,2507644160.0,0.103,0.103,0.103,0.103,0.103
300,-9.972617485000805e+32,0.221,0.213,0.213,0.213,0.213
350,13284153491456.0,0.185,0.174,0.174,0.174,0.174
400,3.686621685743616e+16,0.147,0.148,0.148,0.148,0.148
450,-1.0090836890189936e+33,0.099,0.096,0.096,0.096,0.096
500,-9.790494841271238e+32,0.102,0.101,0.101,0.101,0.101
550,-9.64062130927758e+32,0.102,0.101,0.101,0.101,0.101
600,-9.113211623021445e+27,0.102,0.101,0.101,0.101,0.101
650,2.0246091054178808e+31,0.112,0.114,0.114,0.114,0.114
700,inf,0.112,0.114,0.114,0.114,0.114
750,nan,0.099,0.098,0.098,0.098,0.098
800,nan,0.099,0.098,0.098,0.098,0.098
850,nan,0.099,0.098,0.098,0.098,0.098
900,nan,0.099,0.098,0.098,0.098,0.098
950,nan,0.099,0.098,0.098,0.098,0.098
1000,nan,0.099,0.098,0.098,0.098,0.098
1050,nan,0.099,0.098,0.098,0.098,0.098
1100,nan,0.099,0.098,0.098,0.098,0.098
1150,nan,0.099,0.098,0.098,0.098,0.098
1200,nan,0.099,0.098,0.098,0.098,0.098
1250,nan,0.099,0.098,0.098,0.098,0.098
1300,nan,0.099,0.098,0.098,0.098,0.098
1350,nan,0.099,0.098,0.098,0.098,0.098
1400,nan,0.099,0.098,0.098,0.098,0.098
1450,nan,0.099,0.098,0.098,0.098,0.098
1500,nan,0.099,0.098,0.098,0.098,0.098
1550,nan,0.099,0.098,0.098,0.098,0.098
1600,nan,0.099,0.098,0.098,0.098,0.098
1650,nan,0.099,0.098,0.098,0.098,0.098
1700,nan,0.099,0.098,0.098,0.098,0.098
1750,nan,0.099,0.098,0.098,0.098,0.098
1800,nan,0.099,0.098,0.098,0.098,0.098
1850,nan,0.099,0.098,0.098,0.098,0.098
1900,nan,0.099,0.098,0.098,0.098,0.098
1950,nan,0.099,0.098,0.098,0.098,0.098
2000,nan,0.099,0.098,0.098,0.098,0.098
