num_iter,lossValue,trainAccuracy,predictionAccuracy,predictionPrecision,predictionRecall,predictionF1
50,-18127.258,0.485,0.484,0.484,0.484,0.484
100,0.004,0.696,0.698,0.698,0.698,0.698
150,2.6061841480379234e+30,0.779,0.782,0.782,0.782,0.782
200,2.606181427954829e+30,0.829,0.832,0.832,0.832,0.832
250,0.002,0.855,0.861,0.861,0.861,0.861
300,2.606175987788641e+30,0.875,0.88,0.88,0.88,0.88
350,0.001,0.89,0.893,0.893,0.893,0.893
400,0.001,0.899,0.902,0.902,0.902,0.902
450,2.606181427954829e+30,0.907,0.912,0.912,0.912,0.912
500,1.4350900498163302e+17,0.914,0.916,0.916,0.916,0.916
550,2.6061841480379234e+30,0.92,0.92,0.92,0.92,0.92
600,2.606181427954829e+30,0.925,0.925,0.925,0.925,0.925
650,2.606181427954829e+30,0.928,0.927,0.927,0.927,0.927
700,1.8281539429298645e+23,0.931,0.93,0.93,0.93,0.93
750,2.606181427954829e+30,0.935,0.934,0.934,0.934,0.934
800,-1.2185972457712118e+24,0.937,0.935,0.935,0.935,0.935
850,0.001,0.939,0.938,0.938,0.938,0.938
900,1.9382798571436145e+28,0.941,0.94,0.94,0.94,0.94
950,2.606181427954829e+30,0.944,0.941,0.941,0.941,0.941
1000,0.001,0.945,0.945,0.945,0.945,0.945
1050,1.8063856488225074e+29,0.946,0.944,0.944,0.944,0.944
1100,2.606181427954829e+30,0.948,0.946,0.946,0.946,0.946
1150,2.606181427954829e+30,0.95,0.948,0.948,0.948,0.948
1200,1.9352449102642362e+28,0.951,0.949,0.949,0.949,0.949
1250,0.001,0.952,0.951,0.951,0.951,0.951
1300,2.606181427954829e+30,0.954,0.951,0.951,0.951,0.951
1350,2.606181427954829e+30,0.954,0.953,0.953,0.953,0.953
1400,-0.003,0.956,0.953,0.953,0.953,0.953
1450,1.9360309481653099e+28,0.957,0.955,0.955,0.955,0.955
1500,2.606181427954829e+30,0.957,0.955,0.955,0.955,0.955
1550,1.9354615488266379e+28,0.959,0.956,0.956,0.956,0.956
1600,2.606181427954829e+30,0.959,0.956,0.956,0.956,0.956
1650,0.001,0.96,0.957,0.957,0.957,0.957
1700,1.6772551818736674e+29,0.961,0.958,0.958,0.958,0.958
1750,2.606181427954829e+30,0.961,0.959,0.959,0.959,0.959
1800,2.606181427954829e+30,0.962,0.959,0.959,0.959,0.959
1850,2.606181427954829e+30,0.963,0.959,0.959,0.959,0.959
1900,1.6856596955623925e+28,0.963,0.96,0.96,0.96,0.96
1950,1.950866224136605e+23,0.964,0.96,0.96,0.96,0.96
2000,0.0,0.965,0.962,0.962,0.962,0.962
