num_iter,lossValue,trainAccuracy,predictionAccuracy,predictionPrecision,predictionRecall,predictionF1
50,0.006,0.489,0.497,0.497,0.497,0.497
100,0.004,0.685,0.693,0.693,0.693,0.693
150,0.003,0.765,0.771,0.771,0.771,0.771
200,0.002,0.81,0.818,0.818,0.818,0.818
250,2576476536832.0,0.833,0.838,0.838,0.838,0.838
300,-1075185024.0,0.857,0.857,0.857,0.857,0.857
350,2576480993280.0,0.87,0.87,0.87,0.87,0.87
400,2576485711872.0,0.88,0.879,0.879,0.879,0.879
450,2576480993280.0,0.891,0.889,0.889,0.889,0.889
500,-900719968256.0,0.897,0.896,0.896,0.896,0.896
550,2576480993280.0,0.902,0.904,0.904,0.904,0.904
600,2576480993280.0,0.906,0.904,0.904,0.904,0.904
650,-722338752.0,0.91,0.909,0.909,0.909,0.909
700,2576480993280.0,0.916,0.915,0.915,0.915,0.915
750,0.001,0.916,0.913,0.913,0.913,0.913
800,-856796672.0,0.923,0.919,0.919,0.919,0.919
850,2576480993280.0,0.923,0.921,0.921,0.921,0.921
900,2576480993280.0,0.926,0.923,0.923,0.923,0.923
950,2576480993280.0,0.928,0.926,0.926,0.926,0.926
1000,2576485711872.0,0.927,0.926,0.926,0.926,0.926
1050,0.001,0.933,0.93,0.93,0.93,0.93
1100,0.001,0.934,0.932,0.932,0.932,0.932
1150,0.001,0.935,0.935,0.935,0.935,0.935
1200,2576480993280.0,0.939,0.935,0.935,0.935,0.935
1250,2576439836672.0,0.94,0.936,0.936,0.936,0.936
1300,2576480993280.0,0.938,0.935,0.935,0.935,0.935
1350,2576480993280.0,0.939,0.934,0.934,0.934,0.934
1400,0.001,0.944,0.941,0.941,0.941,0.941
1450,2576480993280.0,0.944,0.94,0.94,0.94,0.94
1500,0.001,0.947,0.942,0.942,0.942,0.942
1550,2576485711872.0,0.945,0.943,0.943,0.943,0.943
1600,0.001,0.946,0.942,0.942,0.942,0.942
1650,0.001,0.948,0.946,0.946,0.946,0.946
1700,0.001,0.949,0.945,0.945,0.945,0.945
1750,0.001,0.949,0.946,0.946,0.946,0.946
1800,2576480993280.0,0.951,0.947,0.947,0.947,0.947
1850,0.001,0.951,0.948,0.948,0.948,0.948
1900,0.001,0.952,0.948,0.948,0.948,0.948
1950,0.001,0.952,0.949,0.949,0.949,0.949
2000,0.001,0.954,0.949,0.949,0.949,0.949
