num_iter,lossValue,trainAccuracy,predictionAccuracy,predictionPrecision,predictionRecall,predictionF1
50,0.022,0.103,0.098,0.098,0.098,0.098
100,-1.5206493973761547e+31,0.073,0.077,0.077,0.077,0.077
150,0.114,0.098,0.099,0.099,0.099,0.099
200,1.216,0.098,0.098,0.098,0.098,0.098
250,-4.3857325881382826e+28,0.104,0.103,0.103,0.103,0.103
300,-4.3857325881382826e+28,0.119,0.115,0.115,0.115,0.115
350,19968462848.0,0.125,0.127,0.127,0.127,0.127
400,-4.3857325881382826e+28,0.079,0.083,0.083,0.083,0.083
450,-4.3857325881382826e+28,0.106,0.111,0.111,0.111,0.111
500,6.338698827779801e+18,0.09,0.089,0.089,0.089,0.089
550,-4.3856584469845015e+28,0.099,0.096,0.096,0.096,0.096
600,3.0924617521413673e+24,0.099,0.096,0.096,0.096,0.096
650,2.979722640283856e+27,0.099,0.096,0.096,0.096,0.096
700,3.011123824955855e+30,0.099,0.098,0.098,0.098,0.098
750,1.743978205131737e+33,0.099,0.103,0.103,0.103,0.103
800,nan,0.099,0.103,0.103,0.103,0.103
850,nan,0.099,0.103,0.103,0.103,0.103
900,nan,0.099,0.103,0.103,0.103,0.103
950,nan,0.099,0.103,0.103,0.103,0.103
1000,nan,0.099,0.103,0.103,0.103,0.103
1050,nan,0.099,0.103,0.103,0.103,0.103
1100,nan,0.099,0.103,0.103,0.103,0.103
1150,nan,0.099,0.103,0.103,0.103,0.103
1200,nan,0.099,0.103,0.103,0.103,0.103
1250,nan,0.099,0.103,0.103,0.103,0.103
1300,nan,0.099,0.103,0.103,0.103,0.103
1350,nan,0.099,0.103,0.103,0.103,0.103
1400,nan,0.099,0.103,0.103,0.103,0.103
1450,nan,0.099,0.103,0.103,0.103,0.103
1500,nan,0.099,0.103,0.103,0.103,0.103
1550,nan,0.099,0.103,0.103,0.103,0.103
1600,nan,0.099,0.103,0.103,0.103,0.103
1650,nan,0.099,0.103,0.103,0.103,0.103
1700,nan,0.099,0.103,0.103,0.103,0.103
1750,nan,0.099,0.103,0.103,0.103,0.103
1800,nan,0.099,0.103,0.103,0.103,0.103
1850,nan,0.099,0.103,0.103,0.103,0.103
1900,nan,0.099,0.103,0.103,0.103,0.103
1950,nan,0.099,0.103,0.103,0.103,0.103
2000,nan,0.099,0.103,0.103,0.103,0.103
