num_iter,lossValue,trainAccuracy,predictionAccuracy,predictionPrecision,predictionRecall,predictionF1
50,0.007,0.457,0.464,0.464,0.464,0.464
100,-9.364087835874298e+24,0.62,0.627,0.627,0.627,0.627
150,-9.364087835874298e+24,0.704,0.708,0.708,0.708,0.708
200,-9.364087835874298e+24,0.755,0.76,0.76,0.76,0.76
250,0.003,0.786,0.795,0.795,0.795,0.795
300,0.003,0.811,0.816,0.816,0.816,0.816
350,-9.364097635707088e+24,0.825,0.831,0.831,0.831,0.831
400,4640528896.0,0.842,0.844,0.844,0.844,0.844
450,0.002,0.855,0.857,0.857,0.857,0.857
500,-9.364097635707088e+24,0.865,0.867,0.867,0.867,0.867
550,0.002,0.872,0.872,0.872,0.872,0.872
600,-9.364097635707088e+24,0.879,0.881,0.881,0.881,0.881
650,0.002,0.885,0.885,0.885,0.885,0.885
700,-9.364087835874298e+24,0.89,0.89,0.89,0.89,0.89
750,0.001,0.895,0.895,0.895,0.895,0.895
800,-9.364087835874298e+24,0.9,0.901,0.901,0.901,0.901
850,0.001,0.903,0.902,0.902,0.902,0.902
900,-9.364097635707088e+24,0.906,0.907,0.907,0.907,0.907
950,-9.364077459580757e+24,0.909,0.908,0.908,0.908,0.908
1000,-9.364097635707088e+24,0.913,0.91,0.91,0.91,0.91
1050,-9.364067659747968e+24,0.915,0.911,0.911,0.911,0.911
1100,-9.364087835874298e+24,0.918,0.915,0.915,0.915,0.915
1150,0.001,0.919,0.916,0.916,0.916,0.916
1200,0.001,0.921,0.919,0.919,0.919,0.919
1250,-9.364097635707088e+24,0.923,0.92,0.92,0.92,0.92
1300,0.001,0.926,0.923,0.923,0.923,0.923
1350,-2.0495504221918986e+18,0.926,0.923,0.923,0.923,0.923
1400,-9.364087835874298e+24,0.928,0.927,0.927,0.927,0.927
1450,-9.364087835874298e+24,0.93,0.928,0.928,0.928,0.928
1500,0.001,0.931,0.927,0.927,0.927,0.927
1550,-9.364087835874298e+24,0.933,0.929,0.929,0.929,0.929
1600,-6.558209331371327e+22,0.934,0.931,0.931,0.931,0.931
1650,-9.364087835874298e+24,0.936,0.932,0.932,0.932,0.932
1700,0.001,0.935,0.931,0.931,0.931,0.931
1750,0.001,0.937,0.933,0.933,0.933,0.933
1800,-9.364087835874298e+24,0.938,0.932,0.932,0.932,0.932
1850,0.001,0.94,0.935,0.935,0.935,0.935
1900,-9.364077459580757e+24,0.94,0.936,0.936,0.936,0.936
1950,0.001,0.941,0.936,0.936,0.936,0.936
2000,0.001,0.942,0.938,0.938,0.938,0.938
